tradedate;tradetime;period_0.25;period_1.0;period_3.0;period_10.0;period_20.0
05.01.2015;15:52:47;13,54;14,51;15,66;13,13;11,06
06.01.2015;18:39:19;13,6;14,05;16,0;13,66;11,59
08.01.2015;18:38:33;14,12;14,41;15,57;13,53;11,66
09.01.2015;18:38:26;14,33;14,55;15,83;13,73;11,76
12.01.2015;18:34:05;16,09;16,27;16,61;14,59;12,51
13.01.2015;18:39:47;16,13;16,86;17,57;14,98;12,65
14.01.2015;18:39:32;15,3;16,12;16,92;14,34;12,17
15.01.2015;18:35:20;14,04;14,89;15,78;13,85;11,76
16.01.2015;18:32:07;13,99;14,69;15,45;13,2;11,21
19.01.2015;18:37:11;14,18;14,64;15,37;13,42;11,41
20.01.2015;18:38:14;14,94;15,13;15,4;13,65;11,71
21.01.2015;18:39:44;14,7;15,14;15,36;13,53;11,55
22.01.2015;18:39:15;14,59;14,8;14,95;13,24;11,23
23.01.2015;18:38:29;14,43;14,77;14,9;13,19;11,28
26.01.2015;18:38:31;15,17;15,42;15,45;13,77;11,69
27.01.2015;18:39:56;15,13;15,38;15,28;13,49;11,53
28.01.2015;18:39:05;15,05;15,39;15,41;13,61;11,81
29.01.2015;18:17:50;14,87;15,29;15,44;13,74;11,84
30.01.2015;18:39:28;13,94;14,56;15,06;13,31;11,37
02.02.2015;18:39:58;13,57;14,08;14,68;12,86;10,99
03.02.2015;18:39:08;13,29;13,75;14,26;12,53;10,81
04.02.2015;18:39:54;13,1;13,78;14,52;12,77;10,96
05.02.2015;18:37:32;12,77;13,55;13,94;12,23;10,68
06.02.2015;18:39:04;12,43;13,16;13,93;12,21;10,64
09.02.2015;18:39:02;12,26;12,99;13,77;12,03;10,43
10.02.2015;18:38:39;12,36;12,97;13,89;12,41;10,72
11.02.2015;18:39:04;12,41;12,97;13,87;12,29;10,63
12.02.2015;18:39:32;12,4;12,87;13,7;12,18;10,54
13.02.2015;18:39:09;12,23;12,79;13,29;11,79;10,3
16.02.2015;18:39:43;11,88;12,46;12,94;11,71;10,21
17.02.2015;18:39:45;11,9;12,31;12,76;11,85;10,41
18.02.2015;18:39:19;11,65;12,06;12,34;11,86;10,6
19.02.2015;18:39:50;12,1;12,5;12,68;12,19;10,84
20.02.2015;18:39:38;12,58;12,51;12,91;12,36;10,95
24.02.2015;18:38:05;13,24;13,45;13,83;12,86;11,25
25.02.2015;18:39:00;13,51;13,64;13,81;12,75;11,12
26.02.2015;18:39:33;13,56;13,63;13,78;12,66;10,98
27.02.2015;18:39:59;13,59;13,68;14,52;12,93;11,08
02.03.2015;18:36:17;13,54;13,91;14,52;13,03;10,94
03.03.2015;18:32:29;12,41;13,32;13,98;12,58;10,77
04.03.2015;18:39:19;12,77;13,28;13,94;12,76;11,08
05.03.2015;18:39:51;12,66;13,1;13,65;12,66;11,07
06.03.2015;18:39:34;12,11;12,81;13,5;12,69;11,12
10.03.2015;18:39:52;12,77;13,12;13,54;12,84;11,33
11.03.2015;18:39:53;12,95;13,05;13,46;12,76;11,39
12.03.2015;18:37:13;12,53;12,79;12,94;12,51;11,24
13.03.2015;18:38:57;12,59;12,95;13,31;12,77;11,53
16.03.2015;18:39:23;12,63;12,98;13,59;13,17;11,99
17.03.2015;18:37:39;12,9;13,18;13,58;13,27;12,23
18.03.2015;18:39:53;12,85;13,12;13,39;13,22;12,17
19.03.2015;18:36:46;12,64;12,89;13,29;12,99;11,99
20.03.2015;18:38:49;12,48;12,73;12,97;12,76;11,71
23.03.2015;18:00:06;12,52;12,71;12,82;12,63;11,57
24.03.2015;18:27:50;12,57;12,58;12,55;12,62;11,64
25.03.2015;18:37:14;11,87;11,98;12,02;12,09;11,32
26.03.2015;18:27:37;11,66;11,82;11,92;11,87;11,12
27.03.2015;18:38:01;11,71;11,83;11,96;11,77;11,06
30.03.2015;17:45:31;12,17;12,25;12,08;11,86;11,07
31.03.2015;18:38:36;12,15;12,3;12,49;12,06;11,33
01.04.2015;18:39:41;12,14;12,16;12,04;11,64;10,78
02.04.2015;18:39:06;12,09;12,14;12,21;11,75;10,86
03.04.2015;18:36:37;12,04;12,11;12,03;11,56;10,62
06.04.2015;18:38:32;12,06;12,15;12,02;11,48;10,58
07.04.2015;18:39:15;12,14;12,17;12,1;11,52;10,48
08.04.2015;18:34:01;12,09;12,11;12,0;11,48;10,49
09.04.2015;18:39:58;11,83;11,77;11,56;11,2;10,34
10.04.2015;18:38:52;11,45;11,49;11,35;10,99;10,28
13.04.2015;18:39:43;11,65;11,6;11,37;10,95;10,17
14.04.2015;18:39:26;11,66;11,51;11,24;10,84;10,04
15.04.2015;18:39:21;11,43;11,38;10,92;10,42;9,69
16.04.2015;18:38:05;11,45;11,33;10,99;10,44;9,61
17.04.2015;18:39:07;11,91;11,71;11,32;10,78;9,94
20.04.2015;18:39:11;12,03;11,84;11,45;10,91;10,06
21.04.2015;18:38:57;11,84;11,66;11,57;10,94;10,02
22.04.2015;18:38:10;11,77;11,53;11,44;10,91;9,95
23.04.2015;18:39:41;11,53;11,41;11,47;10,86;9,95
24.04.2015;18:38:56;11,56;11,39;11,46;10,89;9,94
27.04.2015;18:39:26;11,69;11,51;11,49;10,97;10,04
28.04.2015;18:33:15;11,35;11,16;11,41;10,97;9,99
29.04.2015;18:39:24;11,18;11,13;11,21;10,82;9,95
30.04.2015;18:38:35;10,53;10,54;10,96;10,67;9,88
05.05.2015;18:39:40;10,41;10,42;10,68;10,49;9,8
06.05.2015;18:38:43;10,38;10,4;10,57;10,3;9,67
07.05.2015;18:39:42;10,22;10,34;10,62;10,4;9,76
08.05.2015;18:33:09;10,06;10,17;10,7;10,48;9,84
12.05.2015;18:28:06;10,22;10,33;10,77;10,57;9,95
13.05.2015;18:33:12;10,03;10,23;10,65;10,48;9,86
14.05.2015;18:36:26;10,23;10,45;10,75;10,52;9,9
15.05.2015;18:38:40;10,38;10,49;10,69;10,46;9,93
18.05.2015;18:37:07;10,18;10,28;10,67;10,36;9,82
19.05.2015;18:39:14;10,4;10,45;10,74;10,5;9,93
20.05.2015;18:34:44;10,59;10,64;10,7;10,5;9,92
21.05.2015;18:28:05;10,38;10,44;10,64;10,36;9,74
22.05.2015;18:39:32;10,27;10,42;10,55;10,31;9,69
25.05.2015;18:37:54;10,24;10,39;10,59;10,36;9,76
26.05.2015;18:39:50;10,44;10,56;10,82;10,47;9,81
27.05.2015;18:33:30;10,44;10,53;10,73;10,5;9,8
28.05.2015;18:39:03;10,47;10,61;10,93;10,66;10,0
29.05.2015;18:37:11;10,19;10,54;10,84;10,52;9,86
01.06.2015;18:38:45;10,46;10,61;10,86;10,57;9,93
02.06.2015;18:33:19;10,5;10,59;10,85;10,53;9,91
03.06.2015;18:39:27;10,57;10,62;10,99;10,62;9,94
04.06.2015;18:37:36;10,69;10,76;11,28;10,93;10,19
05.06.2015;18:31:03;10,45;10,67;11,23;11,01;10,34
08.06.2015;18:38:32;10,58;10,7;11,25;10,94;10,25
09.06.2015;18:38:21;10,34;10,55;11,12;10,77;10,1
10.06.2015;18:35:41;10,22;10,41;10,88;10,56;9,86
11.06.2015;18:36:34;10,15;10,42;10,95;10,68;9,93
15.06.2015;18:39:24;10,24;10,55;11,03;10,77;9,97
16.06.2015;18:39:13;10,59;10,7;11,07;10,85;10,07
17.06.2015;18:34:51;10,48;10,7;11,16;10,96;10,14
18.06.2015;18:39:21;10,15;10,42;11,1;10,92;10,07
19.06.2015;18:33:26;10,22;10,54;11,17;10,92;10,08
22.06.2015;18:34:29;10,14;10,55;11,09;10,86;10,06
23.06.2015;18:39:46;10,22;10,49;11,03;10,79;9,98
24.06.2015;18:33:32;10,22;10,5;11,05;10,83;9,93
25.06.2015;18:37:29;10,14;10,44;11,04;10,86;9,98
26.06.2015;18:39:01;10,29;10,52;11,07;10,95;10,05
29.06.2015;18:38:07;10,34;10,6;11,12;11,11;10,27
30.06.2015;18:38:57;10,12;10,43;11,05;10,99;10,17
01.07.2015;18:37:29;10,14;10,53;11,07;11,0;10,13
02.07.2015;18:38:20;10,01;10,47;10,99;11,0;10,09
03.07.2015;18:39:17;9,83;10,43;10,99;10,94;9,96
06.07.2015;18:39:32;10,37;10,48;11,07;11,06;10,48
07.07.2015;18:39:18;10,18;10,52;11,18;11,18;11,04
08.07.2015;18:39:51;9,95;10,51;11,17;11,17;10,18
09.07.2015;18:39:36;9,88;10,33;11,03;11,04;10,06
10.07.2015;18:39:07;9,77;10,25;10,94;10,88;9,91
13.07.2015;18:39:46;9,6;10,23;10,99;10,87;9,81
14.07.2015;18:39:07;9,55;10,17;10,87;10,76;9,67
15.07.2015;18:39:24;9,49;10,12;10,8;10,69;9,68
16.07.2015;18:33:29;9,2;9,92;10,57;10,37;9,3
17.07.2015;18:39:18;9,48;10,01;10,47;10,39;9,43
20.07.2015;18:37:17;9,35;10,04;10,63;10,44;9,4
21.07.2015;18:38:55;9,15;9,93;10,7;10,48;9,38
22.07.2015;18:38:27;9,12;9,96;10,78;10,52;9,41
23.07.2015;18:39:47;9,3;10,01;10,72;10,6;9,56
24.07.2015;18:39:28;9,29;10,09;10,86;10,74;9,65
27.07.2015;18:38:11;9,48;10,22;11,05;11,0;10,05
28.07.2015;18:39:28;9,5;10,27;11,15;11,0;10,03
29.07.2015;18:39:20;9,04;9,95;10,88;10,62;9,61
30.07.2015;18:39:47;9,17;10,01;10,94;10,68;9,69
31.07.2015;18:38:53;9,09;10,13;10,74;10,7;9,7
03.08.2015;18:39:56;9,41;10,25;10,97;10,9;9,94
04.08.2015;18:39:28;9,25;10,16;10,97;10,79;9,79
05.08.2015;18:37:56;9,22;10,18;10,96;10,74;9,72
06.08.2015;18:39:37;9,29;10,21;11,05;10,9;9,93
07.08.2015;18:39:40;9,48;10,25;11,06;10,94;10,04
10.08.2015;18:39:13;9,37;10,2;11,03;10,92;10,05
11.08.2015;18:38:02;9,47;10,21;11,06;11,02;10,17
12.08.2015;18:37:32;9,38;10,19;11,08;10,98;10,1
13.08.2015;18:39:46;9,41;10,22;11,04;11,02;10,18
14.08.2015;18:38:43;9,55;10,29;11,09;10,99;10,13
17.08.2015;18:39:25;9,84;10,51;11,16;11,09;10,25
18.08.2015;18:38:44;9,84;10,46;11,24;11,08;10,2
19.08.2015;18:39:50;10,04;10,58;11,25;11,15;10,29
20.08.2015;18:39:28;10,13;10,82;11,59;11,36;10,42
21.08.2015;18:39:26;10,53;11,09;11,86;11,83;10,94
24.08.2015;18:34:47;10,11;11,22;12,28;12,06;11,09
25.08.2015;18:34:53;9,9;11,04;12,1;11,72;10,8
26.08.2015;18:38:10;9,75;10,9;12,07;11,68;10,88
27.08.2015;18:39:51;9,48;10,94;11,95;11,49;10,92
28.08.2015;18:38:06;9,44;11,04;11,82;11,43;11,03
31.08.2015;18:39:54;9,88;11,1;11,91;11,51;11,1
01.09.2015;18:39:39;9,71;10,97;11,86;11,54;11,1
02.09.2015;18:39:26;9,57;11,04;11,9;11,62;11,22
03.09.2015;18:39:04;9,52;11,01;11,84;11,48;11,15
04.09.2015;18:39:46;9,39;10,96;11,88;11,54;11,24
07.09.2015;18:39:49;9,41;11,06;11,96;11,6;11,31
08.09.2015;18:39:22;9,52;11,08;11,82;11,53;11,23
09.09.2015;18:39:35;9,38;10,98;11,77;11,5;11,23
10.09.2015;18:38:40;9,47;11,0;11,75;11,47;11,2
11.09.2015;18:39:52;9,46;11,05;11,77;11,41;11,17
14.09.2015;18:37:00;9,41;10,99;11,72;11,41;11,18
15.09.2015;18:36:43;9,34;10,93;11,65;11,28;11,09
16.09.2015;18:24:15;9,3;10,9;11,58;11,25;11,06
17.09.2015;18:30:08;9,26;10,84;11,54;11,25;11,05
18.09.2015;18:37:29;9,41;11,01;11,44;11,26;11,04
21.09.2015;18:39:52;9,28;10,94;11,4;11,13;10,97
22.09.2015;18:38:52;9,28;10,93;11,38;11,23;11,03
23.09.2015;18:39:15;9,29;10,95;11,32;11,11;10,95
24.09.2015;18:14:56;9,31;10,95;11,44;11,26;11,09
25.09.2015;18:24:03;9,34;10,98;11,37;11,16;11,02
28.09.2015;18:31:51;9,39;11,02;11,32;11,24;11,07
29.09.2015;18:32:09;9,4;11,02;11,33;11,2;11,04
30.09.2015;18:37:15;9,24;10,9;11,34;11,15;11,0
01.10.2015;18:33:30;9,1;10,72;11,16;11,0;10,87
02.10.2015;18:33:33;9,27;10,9;11,24;11,09;10,96
05.10.2015;18:38:50;8,85;10,57;11,02;10,85;10,78
06.10.2015;18:37:51;9,05;10,61;10,64;10,54;10,54
07.10.2015;17:45:46;8,86;10,45;10,6;10,41;10,41
08.10.2015;18:38:30;8,98;10,54;10,56;10,44;10,41
09.10.2015;18:38:48;8,71;10,32;10,59;10,35;10,29
12.10.2015;18:34:13;8,69;10,35;10,58;10,41;10,34
13.10.2015;18:17:27;9,07;10,48;10,6;10,5;10,43
14.10.2015;18:38:31;9,13;10,5;10,54;10,4;10,36
15.10.2015;18:39:51;8,96;10,39;10,41;10,26;10,24
16.10.2015;18:20:20;8,49;10,1;10,2;9,99;9,99
19.10.2015;18:33:26;8,78;10,2;10,21;10,12;10,07
20.10.2015;18:33:18;8,71;10,28;10,26;10,13;10,09
21.10.2015;18:39:51;8,79;10,19;10,16;10,05;10,05
22.10.2015;18:37:51;8,84;10,25;10,17;10,03;10,03
23.10.2015;18:39:06;8,82;10,2;10,1;9,97;9,95
26.10.2015;18:33:12;8,96;10,28;10,05;10,01;9,98
27.10.2015;18:37:03;9,18;10,4;10,18;10,08;10,06
28.10.2015;18:39:33;8,97;10,28;10,04;9,98;9,96
29.10.2015;18:39:17;8,95;10,24;10,11;10,07;10,02
30.10.2015;18:35:37;8,98;10,35;10,18;10,07;10,03
02.11.2015;18:28:56;8,98;10,32;10,14;10,03;9,99
03.11.2015;18:24:29;8,72;10,12;9,97;9,72;9,73
05.11.2015;18:36:16;8,92;10,24;9,99;9,59;9,63
06.11.2015;18:39:00;8,95;10,24;10,05;9,69;9,67
09.11.2015;18:39:08;8,93;10,23;10,11;9,65;9,66
10.11.2015;18:38:30;8,9;10,21;10,0;9,66;9,65
11.11.2015;18:38:29;8,87;10,22;10,03;9,59;9,6
12.11.2015;18:04:21;9,23;10,38;10,18;9,78;9,76
13.11.2015;18:33:13;9,18;10,39;10,25;9,9;9,86
16.11.2015;18:39:09;9,11;10,44;10,27;9,85;9,84
17.11.2015;18:39:58;8,97;10,31;10,19;9,8;9,79
18.11.2015;18:38:49;8,98;10,31;10,17;9,71;9,7
19.11.2015;18:39:31;8,82;10,17;9,95;9,51;9,52
20.11.2015;18:38:16;9,01;10,26;10,0;9,51;9,5
23.11.2015;18:35:10;8,8;10,17;10,08;9,69;9,64
24.11.2015;18:29:20;9,37;10,45;10,22;9,87;9,83
25.11.2015;18:17:15;9,55;10,51;10,22;9,86;9,84
26.11.2015;18:39:30;9,02;10,26;10,2;9,77;9,73
27.11.2015;18:39:14;9,35;10,51;10,26;9,79;9,79
30.11.2015;18:39:16;8,93;10,26;10,23;9,77;9,73
01.12.2015;18:39:58;9,31;10,4;10,14;9,7;9,72
02.12.2015;18:39:09;9,01;10,31;10,18;9,71;9,71
03.12.2015;18:39:03;8,99;10,3;10,26;9,79;9,75
04.12.2015;18:33:06;9,0;10,3;10,22;9,72;9,7
07.12.2015;18:39:55;9,16;10,4;10,34;9,92;9,84
08.12.2015;18:33:23;9,32;10,46;10,33;9,91;9,87
09.12.2015;18:39:10;9,49;10,48;10,24;9,83;9,83
10.12.2015;18:35:22;9,6;10,5;10,22;9,84;9,82
11.12.2015;18:39:01;9,79;10,65;10,32;9,86;9,87
14.12.2015;18:31:13;9,94;10,74;10,39;9,97;9,96
15.12.2015;18:39:58;9,94;10,82;10,33;9,7;9,61
16.12.2015;18:38:57;9,51;10,57;10,33;9,63;9,46
17.12.2015;18:39:03;9,73;10,71;10,31;9,63;9,48
18.12.2015;18:38:11;9,79;10,7;10,27;9,63;9,46
21.12.2015;18:37:48;9,79;10,71;10,27;9,66;9,48
22.12.2015;18:39:18;9,88;10,76;10,28;9,76;9,58
23.12.2015;18:39:21;9,71;10,66;10,27;9,69;9,52
24.12.2015;18:35:54;9,69;10,6;10,17;9,61;9,47
25.12.2015;18:38:56;9,55;10,5;10,1;9,62;9,51
28.12.2015;18:39:54;9,47;10,4;10,06;9,58;9,44
29.12.2015;18:39:50;9,37;10,3;9,99;9,57;9,43
30.12.2015;18:39:50;9,05;10,17;9,97;9,56;9,43


