"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2025","11,2601","11,3689","11,7641","11,2187","","-0,91%"
"30.12.2025","11,3630","11,2019","11,4105","11,1277","","1,41%"
"29.12.2025","11,2047","11,0671","11,2191","10,9180","","1,22%"
"26.12.2025","11,0694","11,1304","11,1345","11,0169","","-0,59%"
"25.12.2025","11,1349","11,2632","11,2766","11,1061","","-1,13%"
"24.12.2025","11,2617","11,1009","11,2630","11,0958","","1,48%"
"23.12.2025","11,0977","11,1963","11,2118","11,0977","","-0,89%"
"22.12.2025","11,1979","11,4327","11,4346","11,1764","","-2,06%"
"19.12.2025","11,4330","11,3339","11,5338","11,3328","","0,87%"
"18.12.2025","11,3339","11,4284","11,4345","11,3207","","-0,83%"
"17.12.2025","11,4286","11,2267","11,4771","11,2188","","1,81%"
"16.12.2025","11,2253","11,2812","11,3536","11,2253","","-0,49%"
"15.12.2025","11,2803","11,3452","11,3546","11,2175","","-0,58%"
"12.12.2025","11,3463","11,3736","11,3745","11,2269","","-0,21%"
"11.12.2025","11,3700","11,0829","11,3700","11,0793","","2,65%"
"10.12.2025","11,0764","10,9260","11,1578","10,9188","","1,35%"
"09.12.2025","10,9293","10,8245","10,9505","10,7919","","0,97%"
"08.12.2025","10,8248","10,8214","10,8852","10,7848","","0,05%"
"05.12.2025","10,8199","10,9182","10,9331","10,6818","","-0,90%"
"04.12.2025","10,9182","10,9870","10,9870","10,7472","","-0,63%"
"03.12.2025","10,9870","10,9632","11,0875","10,8299","","0,24%"
"02.12.2025","10,9604","10,9826","11,0032","10,9270","","-0,28%"
"01.12.2025","10,9909","10,9585","11,0242","10,9526","","0,34%"
"28.11.2025","10,9537","11,0077","11,0885","10,9192","","-0,51%"
"27.11.2025","11,0103","11,0948","11,1049","11,0041","","-0,75%"
"26.11.2025","11,0939","11,1335","11,1535","11,0868","","-0,35%"
"25.11.2025","11,1333","11,0560","11,1790","11,0503","","0,74%"
"24.11.2025","11,0519","11,1311","11,1350","10,9404","","-0,70%"
"21.11.2025","11,1296","11,2538","11,2579","11,0485","","-1,06%"
"20.11.2025","11,2487","11,3240","11,3517","11,2487","","-0,69%"
"19.11.2025","11,3267","11,3861","11,3952","11,3056","","-0,56%"
"18.11.2025","11,3904","11,4302","11,4344","11,3707","","-0,36%"
"17.11.2025","11,4312","11,3842","11,4457","11,3578","","0,38%"
"14.11.2025","11,3881","11,3729","11,4431","11,3349","","0,13%"
"13.11.2025","11,3729","11,4254","11,4775","11,3171","","-0,47%"
"12.11.2025","11,4266","11,3715","11,4378","11,3660","","0,47%"
"11.11.2025","11,3737","11,4098","11,4572","11,3733","","-0,34%"
"10.11.2025","11,4121","11,3685","11,4350","11,3356","","0,41%"
"07.11.2025","11,3653","11,4106","11,4291","11,3596","","-0,41%"
"06.11.2025","11,4126","11,4213","11,4576","11,3606","","-0,02%"
"05.11.2025","11,4148","11,3558","11,4155","11,2724","","0,48%"
"04.11.2025","11,3608","11,3341","11,3874","11,2950","","0,24%"
"03.11.2025","11,3341","11,3488","11,3873","11,3029","","-0,16%"
"31.10.2025","11,3525","11,2435","11,3777","11,2423","","0,96%"
"30.10.2025","11,2441","11,2685","11,3893","11,2191","","-0,23%"
"29.10.2025","11,2700","11,1634","11,2867","11,1566","","0,96%"
"28.10.2025","11,1632","11,1514","11,2964","11,1514","","0,16%"
"27.10.2025","11,1454","11,2173","11,2173","11,1076","","-0,47%"
"24.10.2025","11,1984","11,4086","11,4527","11,1980","","-1,84%"
"23.10.2025","11,4086","11,4411","11,5827","11,3303","","-0,24%"
"22.10.2025","11,4363","11,4227","11,5111","11,4001","","0,10%"
"21.10.2025","11,4252","11,3544","11,4422","11,3131","","0,62%"
"20.10.2025","11,3553","11,3926","11,4403","11,3316","","-0,30%"
"17.10.2025","11,3897","11,2393","11,4814","11,2210","","1,41%"
"16.10.2025","11,2311","11,0425","11,3753","10,9817","","1,77%"
"15.10.2025","11,0361","11,1552","11,1987","10,9789","","-0,90%"
"14.10.2025","11,1360","11,3780","11,3797","11,0445","","-2,13%"
"13.10.2025","11,3782","11,4476","11,4564","11,2678","","-0,54%"
"10.10.2025","11,4396","11,3922","11,5823","11,3830","","0,46%"
"09.10.2025","11,3875","11,4488","11,5022","11,3557","","-0,54%"
"08.10.2025","11,4488","11,5190","11,6054","11,3771","","-0,69%"
"07.10.2025","11,5281","11,6173","11,6230","11,2802","","-1,12%"
"06.10.2025","11,6581","11,5471","11,7178","11,5471","","0,91%"
"03.10.2025","11,5527","11,3996","11,6089","11,3996","","-0,36%"
"02.10.2025","11,5948","11,4137","11,5948","11,3364","","0,06%"
"01.10.2025","11,5878","11,5822","11,5878","11,3785","","-0,48%"
"30.09.2025","11,6440","11,6659","11,6927","11,5668","","-0,21%"
"29.09.2025","11,6688","11,6992","11,7413","11,6105","","-0,16%"
"26.09.2025","11,6874","11,7670","11,8077","11,6809","","-0,67%"
"25.09.2025","11,7662","11,7480","11,7964","11,7105","","0,20%"
"24.09.2025","11,7426","11,7594","11,7809","11,7030","","-0,16%"
"23.09.2025","11,7616","11,7568","11,7910","11,6913","","0,07%"
"22.09.2025","11,7538","11,7331","11,8181","11,7274","","0,16%"
"19.09.2025","11,7349","11,7022","11,8104","11,6857","","0,26%"
"18.09.2025","11,7048","11,8138","11,8200","11,6506","","-1,02%"
"17.09.2025","11,8250","11,7013","11,8253","11,6283","","1,11%"
"16.09.2025","11,6947","11,6589","11,7013","11,5542","","0,31%"
"15.09.2025","11,6589","11,7914","11,7981","11,5633","","-1,11%"
"12.09.2025","11,7898","11,8716","11,9717","11,5848","","-0,68%"
"11.09.2025","11,8702","11,8721","12,0636","11,8623","","0,03%"
"10.09.2025","11,8661","11,7381","11,9709","11,7381","","0,96%"
"09.09.2025","11,7532","11,5676","11,7742","11,5676","","1,60%"
"08.09.2025","11,5676","11,3926","11,6133","11,3848","","1,55%"
"05.09.2025","11,3910","11,3893","11,4195","11,3657","","0,06%"
"04.09.2025","11,3838","11,3422","11,4039","11,2853","","0,38%"
"03.09.2025","11,3411","11,2838","11,3411","11,2524","","0,52%"
"02.09.2025","11,2823","11,2872","11,2894","11,2385","","-0,05%"
"01.09.2025","11,2885","11,2043","11,3567","11,2012","","0,75%"
"29.08.2025","11,2050","11,2571","11,3078","11,2166","","-0,51%"
"28.08.2025","11,2627","11,2401","11,2882","11,1832","","0,28%"
"27.08.2025","11,2310","11,2575","11,3072","11,1859","","-0,21%"
"26.08.2025","11,2541","11,2780","11,2830","11,1832","","-0,27%"
"25.08.2025","11,2843","11,2422","11,3031","11,2363","","0,38%"
