"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2025","92,496","93,397","96,681","91,998","","-0,96%"
"30.12.2025","93,397","92,379","93,901","91,731","","1,06%"
"29.12.2025","92,414","91,296","92,500","90,090","","1,21%"
"26.12.2025","91,308","91,904","92,009","90,907","","-0,63%"
"25.12.2025","91,884","93,086","93,090","91,695","","-1,25%"
"24.12.2025","93,050","91,985","93,133","91,931","","1,14%"
"23.12.2025","91,997","92,637","92,836","91,759","","-0,73%"
"22.12.2025","92,673","94,290","94,386","92,382","","-1,68%"
"19.12.2025","94,261","93,553","95,129","93,521","","0,76%"
"18.12.2025","93,553","94,511","94,595","93,468","","-1,01%"
"17.12.2025","94,511","92,860","94,704","92,702","","1,78%"
"16.12.2025","92,856","93,432","94,237","92,852","","-0,62%"
"15.12.2025","93,440","93,991","94,023","92,828","","-0,58%"
"12.12.2025","93,983","94,201","94,270","92,957","","-0,23%"
"11.12.2025","94,202","91,517","94,398","91,435","","2,93%"
"10.12.2025","91,517","89,757","91,960","89,718","","1,96%"
"09.12.2025","89,757","89,077","90,039","88,779","","0,75%"
"08.12.2025","89,085","89,084","89,775","88,717","","0,02%"
"05.12.2025","89,065","89,903","90,052","88,033","","-0,93%"
"04.12.2025","89,903","90,571","90,610","88,616","","-0,75%"
"03.12.2025","90,583","90,098","91,182","89,218","","0,56%"
"02.12.2025","90,082","90,243","90,280","89,664","","-0,17%"
"01.12.2025","90,231","89,869","90,656","89,815","","0,40%"
"28.11.2025","89,869","90,387","90,885","89,490","","-0,57%"
"27.11.2025","90,387","91,025","91,243","90,262","","-0,70%"
"26.11.2025","91,025","91,262","91,515","90,615","","-0,26%"
"25.11.2025","91,262","90,440","91,490","90,262","","0,91%"
"24.11.2025","90,440","91,064","91,190","89,704","","-0,69%"
"21.11.2025","91,064","92,286","92,413","90,642","","-1,32%"
"20.11.2025","92,286","92,931","93,064","92,238","","-0,70%"
"19.11.2025","92,939","93,760","93,955","92,766","","-0,88%"
"18.11.2025","93,760","94,185","94,287","93,679","","-0,45%"
"17.11.2025","94,181","93,956","94,414","93,595","","0,24%"
"14.11.2025","93,956","93,927","94,549","93,629","","0,08%"
"13.11.2025","93,878","94,222","94,439","93,256","","-0,37%"
"12.11.2025","94,226","93,756","94,292","93,655","","0,50%"
"11.11.2025","93,756","93,905","94,325","93,674","","-0,16%"
"10.11.2025","93,905","93,627","94,212","93,228","","0,30%"
"07.11.2025","93,627","93,819","93,886","93,322","","-0,21%"
"06.11.2025","93,823","93,487","94,153","93,123","","0,35%"
"05.11.2025","93,492","93,008","93,512","92,302","","0,52%"
"04.11.2025","93,008","92,978","93,301","92,643","","0,03%"
"03.11.2025","92,978","93,207","93,498","92,708","","-0,25%"
"31.10.2025","93,207","92,466","93,655","92,426","","0,80%"
"30.10.2025","92,466","92,804","94,037","92,299","","-0,37%"
"29.10.2025","92,808","92,338","93,338","92,061","","0,51%"
"28.10.2025","92,338","92,283","93,517","92,279","","0,06%"
"27.10.2025","92,287","92,717","92,893","91,810","","-0,46%"
"24.10.2025","92,717","94,412","94,709","92,670","","-1,80%"
"23.10.2025","94,412","94,630","95,655","93,584","","-0,23%"
"22.10.2025","94,626","94,391","95,165","94,236","","0,25%"
"21.10.2025","94,391","94,130","94,598","93,651","","0,29%"
