"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2025","6,9937","6,9928","7,0022","6,9868","","-0,04%"
"30.12.2025","6,9964","7,0078","7,0078","6,9876","","-0,14%"
"29.12.2025","7,0060","7,0082","7,0176","7,0056","","-0,01%"
"26.12.2025","7,0067","7,0088","7,0111","7,0061","","0,01%"
"25.12.2025","7,0059","7,0140","7,0154","7,0056","","-0,13%"
"24.12.2025","7,0149","7,0265","7,0297","7,0129","","-0,19%"
"23.12.2025","7,0285","7,0380","7,0381","7,0277","","-0,12%"
"22.12.2025","7,0370","7,0412","7,0416","7,0367","","-0,06%"
"19.12.2025","7,0411","7,0416","7,0424","7,0404","","-0,01%"
"18.12.2025","7,0418","7,0439","7,0458","7,0403","","-0,03%"
"17.12.2025","7,0438","7,0413","7,0470","7,0411","","0,02%"
"16.12.2025","7,0421","7,0472","7,0472","7,0415","","-0,08%"
"15.12.2025","7,0477","7,0559","7,0559","7,0470","","-0,11%"
"12.12.2025","7,0552","7,0559","7,0570","7,0544","","-0,04%"
"11.12.2025","7,0581","7,0605","7,0628","7,0571","","-0,09%"
"10.12.2025","7,0646","7,0658","7,0675","7,0607","","0,01%"
"09.12.2025","7,0636","7,0719","7,0725","7,0636","","-0,11%"
"08.12.2025","7,0717","7,0693","7,0720","7,0671","","0,02%"
"05.12.2025","7,0703","7,0725","7,0725","7,0677","","-0,02%"
"04.12.2025","7,0717","7,0682","7,0718","7,0671","","0,11%"
"03.12.2025","7,0638","7,0692","7,0692","7,0615","","-0,10%"
"02.12.2025","7,0709","7,0771","7,0774","7,0690","","-0,01%"
"01.12.2025","7,0718","7,0722","7,0760","7,0714","","-0,05%"
"28.11.2025","7,0753","7,0814","7,0835","7,0747","","-0,06%"
"27.11.2025","7,0798","7,0754","7,0839","7,0754","","0,05%"
"26.11.2025","7,0760","7,0845","7,0862","7,0760","","-0,12%"
"25.11.2025","7,0847","7,1002","7,1008","7,0846","","-0,26%"
"24.11.2025","7,1029","7,1063","7,1095","7,1020","","-0,06%"
