"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"31.12.2025","78,7500","78,4100","82,2500","78,4100","","-0,94%"
"30.12.2025","79,5000","77,9100","79,8000","77,9100","","1,27%"
"29.12.2025","78,5000","77,5600","78,6000","76,5000","","1,21%"
"26.12.2025","77,5600","77,8100","77,9100","77,2100","","-0,58%"
"25.12.2025","78,0100","78,4100","78,4100","77,8100","","-1,25%"
"24.12.2025","79,0000","78,2100","79,0000","78,1600","","1,28%"
"23.12.2025","78,0000","78,3600","78,7600","78,0000","","-1,02%"
"22.12.2025","78,8000","80,4600","80,4600","78,6500","","-2,11%"
"19.12.2025","80,5000","79,8100","81,2100","79,8100","","0,86%"
"18.12.2025","79,8100","80,2100","80,5100","79,7100","","-0,86%"
"17.12.2025","80,5000","79,4100","80,8500","79,4100","","1,83%"
"16.12.2025","79,0500","79,6250","79,9500","79,0500","","-0,57%"
"15.12.2025","79,5000","79,7100","79,7750","79,0500","","-0,69%"
"12.12.2025","80,0500","79,3100","80,0500","79,2100","","-0,25%"
"11.12.2025","80,2500","78,5100","80,2500","78,3500","","2,56%"
"10.12.2025","78,2500","77,3100","78,8250","77,1250","","1,36%"
"09.12.2025","77,2000","76,6100","77,3500","76,3000","","0,85%"
"08.12.2025","76,5500","76,8100","76,9600","76,2500","","0,07%"
"05.12.2025","76,5000","77,2100","77,3000","75,5100","","-0,92%"
"04.12.2025","77,2100","77,6100","77,6100","76,0000","","-0,52%"
"03.12.2025","77,6100","77,6100","78,3250","76,5000","","0,14%"
"02.12.2025","77,5000","77,7600","77,7900","77,2500","","-0,29%"
"01.12.2025","77,7250","77,9100","77,9600","77,6000","","0,29%"
"28.11.2025","77,5000","78,3100","78,4600","77,2500","","-0,58%"
"27.11.2025","77,9500","78,6100","78,6100","77,9500","","-0,70%"
"26.11.2025","78,5000","78,9600","78,9600","78,4750","","-0,48%"
"25.11.2025","78,8750","78,6600","79,2100","78,4100","","0,48%"
"24.11.2025","78,5000","79,0100","79,1100","77,7500","","-0,76%"
"21.11.2025","79,1000","80,0600","80,0600","78,5500","","-1,19%"
"20.11.2025","80,0500","80,6600","80,7600","80,0500","","-0,62%"
"19.11.2025","80,5500","80,9100","81,0100","80,4000","","-0,51%"
"18.11.2025","80,9600","81,0600","81,2500","80,9100","","-0,36%"
"17.11.2025","81,2500","80,7100","81,3500","80,7100","","0,49%"
"14.11.2025","80,8500","80,7000","81,2500","80,4100","","0,19%"
"13.11.2025","80,7000","81,0100","81,5250","80,3100","","-0,71%"
"12.11.2025","81,2750","81,0100","81,4000","80,9100","","0,40%"
"11.11.2025","80,9500","81,3100","81,6000","80,9500","","-0,37%"
"10.11.2025","81,2500","80,9600","81,4100","80,7000","","0,37%"
"07.11.2025","80,9500","81,1100","81,4100","80,9100","","-0,37%"
"06.11.2025","81,2500","81,2600","81,6000","80,9100","","-0,12%"
"05.11.2025","81,3500","80,7600","81,3600","80,3600","","0,43%"
"04.11.2025","81,0000","80,7100","81,1250","80,5100","","0,36%"
"03.11.2025","80,7100","81,0100","81,0100","80,5000","","-0,11%"
"31.10.2025","80,8000","80,4100","80,9500","80,0000","","1,06%"
"30.10.2025","79,9500","79,7100","81,0000","79,7100","","-0,06%"
"29.10.2025","80,0000","79,6100","80,1250","79,2100","","0,95%"
"28.10.2025","79,2500","79,7100","80,2100","79,2500","","0,00%"
"27.10.2025","79,2500","79,1250","79,5000","78,9250","","-0,63%"
"24.10.2025","79,7500","81,2600","81,5750","79,7500","","-1,86%"
"23.10.2025","81,2600","81,6600","82,5000","80,7000","","-0,29%"
"22.10.2025","81,5000","81,2100","82,0000","81,2100","","0,15%"
"21.10.2025","81,3750","80,8100","81,4600","80,5500","","0,65%"
"20.10.2025","80,8500","81,3600","81,5000","80,7100","","-0,40%"
"17.10.2025","81,1750","80,0100","81,8000","79,9100","","1,46%"
"16.10.2025","80,0100","78,5100","81,0500","78,2600","","1,73%"
"15.10.2025","78,6500","79,8100","79,8100","78,2500","","-1,07%"
"14.10.2025","79,5000","80,2100","80,7500","78,8750","","-2,03%"
"13.10.2025","81,1500","81,2600","81,7000","80,3750","","-0,58%"
"10.10.2025","81,6250","81,5100","82,5000","81,1000","","0,55%"
"09.10.2025","81,1750","81,5100","82,0000","80,9600","","-0,41%"
"08.10.2025","81,5100","82,0100","82,6250","81,0000","","-0,69%"
"07.10.2025","82,0750","82,7100","82,7500","80,3100","","-1,11%"
"06.10.2025","83,0000","82,2100","83,4250","82,2100","","0,91%"
"03.10.2025","82,2500","81,1600","82,6500","81,1600","","-0,36%"
"02.10.2025","82,5500","81,2600","82,5500","80,7100","","0,06%"
"01.10.2025","82,5000","82,4600","82,5000","81,0100","","-0,48%"
"30.09.2025","82,9000","82,5600","83,3000","82,3500","","-0,21%"
"29.09.2025","83,0750","83,2100","83,6000","82,6600","","-0,36%"
"26.09.2025","83,3750","83,7100","84,2500","83,3250","","-0,68%"
"25.09.2025","83,9500","83,5100","84,0750","83,4600","","0,24%"
"24.09.2025","83,7500","83,5600","83,9500","83,4100","","0,12%"
"23.09.2025","83,6500","83,6600","83,8750","83,1600","","0,03%"
"22.09.2025","83,6250","83,6100","84,0500","83,4100","","0,15%"
"19.09.2025","83,5000","83,1100","84,0000","83,1100","","0,30%"
"18.09.2025","83,2500","83,0100","84,0000","82,8100","","-0,89%"
"17.09.2025","84,0000","82,7100","84,0000","82,6250","","0,96%"
"16.09.2025","83,2000","82,8100","83,2500","82,2100","","0,24%"
"15.09.2025","83,0000","83,8600","83,8600","82,3500","","-1,19%"
"12.09.2025","84,0000","85,0100","85,2500","82,5000","","-0,59%"
"11.09.2025","84,5000","85,0100","85,9250","84,5000","","0,00%"
"10.09.2025","84,5000","84,0100","85,2500","83,8600","","0,96%"
"09.09.2025","83,7000","82,6600","83,8500","82,6600","","1,49%"
"08.09.2025","82,4750","81,3100","82,8000","81,3100","","1,51%"
"05.09.2025","81,2500","81,1600","81,5100","81,1250","","-0,06%"
"04.09.2025","81,3000","80,8100","81,4250","80,6100","","0,37%"
"03.09.2025","81,0000","80,5600","81,0000","80,4000","","0,56%"
"02.09.2025","80,5500","80,3600","80,6600","80,3100","","-0,03%"
"01.09.2025","80,5750","80,0000","81,0000","80,0000","","0,84%"
"29.08.2025","79,9000","80,3100","80,6500","79,9000","","-0,51%"
"28.08.2025","80,3100","80,3100","80,5000","79,7500","","-0,05%"
"27.08.2025","80,3500","80,4100","80,9500","80,1000","","-0,19%"
"26.08.2025","80,5000","80,3100","80,6000","80,0500","","-0,25%"
"25.08.2025","80,7000","80,7100","80,8500","80,4100","","0,19%"
"22.08.2025","80,5500","80,2600","80,9600","80,2600","","-0,03%"
"21.08.2025","80,5750","80,1100","80,6000","80,1100","","0,09%"
"20.08.2025","80,5000","80,3600","80,8000","80,1100","","-0,34%"
"19.08.2025","80,7750","80,2600","80,7750","80,2100","","0,64%"
"18.08.2025","80,2600","79,8600","80,5000","79,8600","","0,14%"
"15.08.2025","80,1500","79,7600","80,3000","79,7500","","0,50%"
"14.08.2025","79,7500","79,7100","79,9000","79,1600","","0,38%"
"13.08.2025","79,4500","79,9100","79,9600","79,2000","","0,00%"
"12.08.2025","79,4500","79,8600","80,1300","79,4500","","-0,06%"
"11.08.2025","79,5000","79,8100","80,1300","79,4600","","-0,63%"
"08.08.2025","80,0000","79,2600","80,1000","79,2600","","0,95%"
"07.08.2025","79,2500","80,1100","80,1100","79,1500","","-0,94%"
"06.08.2025","80,0000","80,0000","80,3250","79,9750","","0,00%"
"05.08.2025","80,0000","79,7500","80,3000","79,7100","","0,22%"
"04.08.2025","79,8250","80,0100","80,0100","79,6100","","-0,22%"
"01.08.2025","80,0000","80,1600","81,1500","80,0000","","-1,36%"
"31.07.2025","81,1000","81,0100","81,6000","79,7100","","0,11%"
"30.07.2025","81,0100","81,2500","82,3500","80,4500","","-0,11%"
