<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GLDRUB_TOM;D;20150113;000000;2440.5;2478.9;2440.5;2478.9;450
GLDRUB_TOM;D;20150114;000000;2560.9;2618;2560.9;2611.5;730
GLDRUB_TOM;D;20150115;000000;2620;2643;2618.7;2643;900
GLDRUB_TOM;D;20150116;000000;2563.7;2642.2;2563.7;2608.7;720
GLDRUB_TOM;D;20150117;000000;2646;2675;2640;2675;230
GLDRUB_TOM;D;20150120;000000;2655;2655;2630;2646.1;420
GLDRUB_TOM;D;20150121;000000;2699.2;2699.2;2699.2;2699.2;1000
GLDRUB_TOM;D;20150122;000000;2734.8;2738.8;2731;2731;250
GLDRUB_TOM;D;20150123;000000;2690;2690;2675;2690;300
GLDRUB_TOM;D;20150124;000000;2630;2678;2630;2678;1480
GLDRUB_TOM;D;20150127;000000;2715.9;2777;2699.9;2777;1070
GLDRUB_TOM;D;20150128;000000;2768.1;2805.8;2768.1;2777;710
GLDRUB_TOM;D;20150130;000000;2820.1;2820.1;2797;2797;5050
GLDRUB_TOM;D;20150131;000000;2800.4;2843.2;2800.4;2840;5030
GLDRUB_TOM;D;20150203;000000;2855.6;2855.6;2800.6;2825;5440
GLDRUB_TOM;D;20150204;000000;2721.3;2721.3;2626.4;2626.4;40
GLDRUB_TOM;D;20150205;000000;2659;2697.6;2659;2690;710
GLDRUB_TOM;D;20150206;000000;2697;2709;2697;2709;100
GLDRUB_TOM;D;20150207;000000;2677.77;2678.5;2677.77;2678.5;120
GLDRUB_TOM;D;20150210;000000;2616.6;2641.3;2616.6;2618.4;30
GLDRUB_TOM;D;20150211;000000;2620;2620;2620;2620;80
GLDRUB_TOM;D;20150212;000000;2628.5;2628.5;2628.5;2628.5;150
GLDRUB_TOM;D;20150214;000000;2537;2537;2513.9;2513.9;100
GLDRUB_TOM;D;20150217;000000;2482;2482;2460;2480;320
GLDRUB_TOM;D;20150218;000000;2470;2470;2450.6;2450.6;30
GLDRUB_TOM;D;20150219;000000;2413.7;2422.9;2413.7;2422.9;90
GLDRUB_TOM;D;20150220;000000;2413.2;2413.2;2413.2;2413.2;10
GLDRUB_TOM;D;20150221;000000;2397.4;2405;2397.4;2405;20
GLDRUB_TOM;D;20150225;000000;2430;2436;2427.6;2436;30
GLDRUB_TOM;D;20150226;000000;2435.8;2435.9;2389;2395.8;430
GLDRUB_TOM;D;20150227;000000;2358.7;2358.7;2345.1;2345.1;120
GLDRUB_TOM;D;20150228;000000;2368.2;2416.3;2368.2;2416.3;1780
GLDRUB_TOM;D;20150303;000000;2427.9;2433.6;2427.9;2432;350
GLDRUB_TOM;D;20150306;000000;2355.4;2357;2355.4;2357;20
GLDRUB_TOM;D;20150311;000000;2262;2269.5;2262;2269.5;650
GLDRUB_TOM;D;20150312;000000;2329.3;2329.3;2300;2300;410
GLDRUB_TOM;D;20150313;000000;2280;2280;2280;2280;10
GLDRUB_TOM;D;20150317;000000;2307;2310;2307;2310;320
GLDRUB_TOM;D;20150318;000000;2278.85;2278.85;2278.85;2278.85;10
GLDRUB_TOM;D;20150319;000000;2259.9;2262.9;2245;2245;40
GLDRUB_TOM;D;20150320;000000;2252;2252;2245;2246.81;2280
GLDRUB_TOM;D;20150324;000000;2248.7;2256;2248.7;2256;110
GLDRUB_TOM;D;20150325;000000;2227.9;2230;2209.7;2209.7;260
GLDRUB_TOM;D;20150326;000000;2193;2200;2185;2200;90210
GLDRUB_TOM;D;20150327;000000;2196.8;2220.5;2196.8;2220.5;310
GLDRUB_TOM;D;20150328;000000;2231.4;2231.4;2231.4;2231.4;10
GLDRUB_TOM;D;20150331;000000;2235;2237;2235;2237;120
GLDRUB_TOM;D;20150401;000000;2185.9;2217;2185.9;2217;210
GLDRUB_TOM;D;20150402;000000;2215.5;2215.5;2215.5;2215.5;50
GLDRUB_TOM;D;20150403;000000;2190.2;2190.2;2190.2;2190.2;20
GLDRUB_TOM;D;20150404;000000;2201.6;2201.6;2201.6;2201.6;30
GLDRUB_TOM;D;20150408;000000;2165;2165;2150;2151;550
GLDRUB_TOM;D;20150409;000000;2096.5;2096.5;2070;2070;710
GLDRUB_TOM;D;20150410;000000;2029.2;2029.2;1996.8;1996.8;70
GLDRUB_TOM;D;20150411;000000;1951;2017;1951;2017;30
GLDRUB_TOM;D;20150414;000000;2018.7;2026.4;2018.7;2022.2;50
GLDRUB_TOM;D;20150415;000000;1972.2;1981.5;1972.2;1981.5;30
GLDRUB_TOM;D;20150417;000000;1916.8;1948.2;1916.8;1948.2;260
GLDRUB_TOM;D;20150418;000000;1966.7;2041.3;1966.7;2041.3;2240
GLDRUB_TOM;D;20150421;000000;2030;2061.7;2030;2061.7;20
GLDRUB_TOM;D;20150422;000000;2075;2079.1;2065.7;2065.7;950
GLDRUB_TOM;D;20150423;000000;2077;2077;2005;2005;110
GLDRUB_TOM;D;20150424;000000;1981.2;1981.2;1950;1950;2120
GLDRUB_TOM;D;20150425;000000;1929.8;1929.8;1929.8;1929.8;150
GLDRUB_TOM;D;20150428;000000;2004;2004;2004;2004;50
GLDRUB_TOM;D;20150429;000000;2025;2025;2000;2000;2230
GLDRUB_TOM;D;20150430;000000;1995;1995;1995;1995;2330
GLDRUB_TOM;D;20150501;000000;1974.9;2004.4;1950;1950;1180
GLDRUB_TOM;D;20150506;000000;1963.5;1976.2;1963.5;1976.2;30
GLDRUB_TOM;D;20150507;000000;1925;1925;1917;1924.5;190
GLDRUB_TOM;D;20150508;000000;1921.6;1921.6;1921.6;1921.6;70
GLDRUB_TOM;D;20150509;000000;1935;1935;1935;1935;10
GLDRUB_TOM;D;20150513;000000;1934;1934;1934;1934;40
GLDRUB_TOM;D;20150514;000000;1901.6;1901.6;1901.6;1901.6;160
GLDRUB_TOM;D;20150515;000000;1954;1970.2;1954;1970.2;30
GLDRUB_TOM;D;20150516;000000;1951.3;1951.3;1951.3;1951.3;50
GLDRUB_TOM;D;20150519;000000;1935;1941.1;1935;1941.1;360
GLDRUB_TOM;D;20150520;000000;1936;1936;1936;1936;100
GLDRUB_TOM;D;20150521;000000;1943;1946;1943;1943;700
GLDRUB_TOM;D;20150523;000000;1940;1940;1940;1940;60
GLDRUB_TOM;D;20150526;000000;1937;1937;1937;1937;10
GLDRUB_TOM;D;20150527;000000;1937.9;1938.4;1932;1938.4;60
GLDRUB_TOM;D;20150528;000000;1949.2;1956;1949.2;1956;2500
GLDRUB_TOM;D;20150529;000000;2000;2018.4;2000;2018.4;290
GLDRUB_TOM;D;20150530;000000;2025.3;2025.3;2006.8;2006.8;60
GLDRUB_TOM;D;20150602;000000;2015;2054;2015;2054;320
GLDRUB_TOM;D;20150604;000000;2062.6;2071;2062;2062;8400
GLDRUB_TOM;D;20150605;000000;2084.6;2111;2084.6;2111;560
GLDRUB_TOM;D;20150606;000000;2145;2145;2117.3;2124;3230
GLDRUB_TOM;D;20150609;000000;2123.2;2123.2;2115;2121;60
GLDRUB_TOM;D;20150610;000000;2124;2124;2105.8;2105.8;1960
GLDRUB_TOM;D;20150611;000000;2091;2091;2078.3;2078.3;30
GLDRUB_TOM;D;20150612;000000;2078.3;2078.3;2075.5;2075.5;20
GLDRUB_TOM;D;20150617;000000;2040;2040;2040;2040;50
GLDRUB_TOM;D;20150618;000000;2055;2055;2055;2055;260
GLDRUB_TOM;D;20150619;000000;2070;2070;2057;2057;40
GLDRUB_TOM;D;20150620;000000;2067.4;2104.1;2067.4;2104.1;620
GLDRUB_TOM;D;20150623;000000;2065;2065;2059;2059;310
GLDRUB_TOM;D;20150625;000000;2044.8;2056.8;2044.8;2056.8;150
GLDRUB_TOM;D;20150627;000000;2079;2079;2079;2079;200
GLDRUB_TOM;D;20150630;000000;2101.5;2102;2101.5;2102;1060
GLDRUB_TOM;D;20150701;000000;2101;2101;2099.7;2099.7;170
GLDRUB_TOM;D;20150702;000000;2098.9;2098.9;2092;2092;1040
GLDRUB_TOM;D;20150708;000000;2145.4;2145.4;2145.4;2145.4;180
GLDRUB_TOM;D;20150709;000000;2113;2119.9;2113;2118.3;60
GLDRUB_TOM;D;20150710;000000;2132;2132;2132;2132;7650
GLDRUB_TOM;D;20150711;000000;2117.1;2117.1;2100.7;2102.7;13030
GLDRUB_TOM;D;20150715;000000;2109.6;2109.6;2108;2108;5320
GLDRUB_TOM;D;20150716;000000;2103;2103;2092.7;2092.7;10050
GLDRUB_TOM;D;20150717;000000;2092.4;2092.4;2092.4;2092.4;20
GLDRUB_TOM;D;20150721;000000;2032.2;2032.2;2032.2;2032.2;10
GLDRUB_TOM;D;20150722;000000;2024.7;2028;2022.4;2022.4;220
GLDRUB_TOM;D;20150723;000000;2002;2005.5;2002;2002;13440
GLDRUB_TOM;D;20150724;000000;2020;2034;2020;2034;30070
GLDRUB_TOM;D;20150725;000000;2019.4;2035;2019.4;2035;101600
GLDRUB_TOM;D;20150728;000000;2100.4;2100.4;2081.8;2091.9;60300
GLDRUB_TOM;D;20150729;000000;2114;2117.6;2114;2117.6;30
GLDRUB_TOM;D;20150730;000000;2114.2;2114.2;2069.1;2069.1;15020
GLDRUB_TOM;D;20150731;000000;2057.8;2082.3;2055;2082.3;10240
GLDRUB_TOM;D;20150801;000000;2094.6;2097;2094.6;2095;5150
GLDRUB_TOM;D;20150804;000000;2193;2213.6;2188;2213.6;170
GLDRUB_TOM;D;20150806;000000;2184;2195;2181;2193.6;3400
GLDRUB_TOM;D;20150807;000000;2217;2237;2217;2236.5;183650
GLDRUB_TOM;D;20150808;000000;2247;2258.27;2241.6;2258.27;2410
GLDRUB_TOM;D;20150811;000000;2268.6;2268.6;2246;2246;13050
GLDRUB_TOM;D;20150812;000000;2234.8;2270.5;2234.8;2270.5;18670
GLDRUB_TOM;D;20150813;000000;2334.5;2334.5;2333;2333;1010
GLDRUB_TOM;D;20150814;000000;2306.8;2312;2303.4;2303.4;140
GLDRUB_TOM;D;20150815;000000;2324.6;2330;2324.6;2330;1530
GLDRUB_TOM;D;20150818;000000;2349;2349;2347;2347;40
GLDRUB_TOM;D;20150819;000000;2365.6;2366.8;2358.8;2358.8;20440
GLDRUB_TOM;D;20150820;000000;2373.2;2373.2;2359.8;2360;1620
GLDRUB_TOM;D;20150821;000000;2446.4;2476.5;2440;2476.5;27750
GLDRUB_TOM;D;20150822;000000;2516.7;2521.4;2515;2518;9100
GLDRUB_TOM;D;20150825;000000;2608.9;2636.9;2608.9;2621.6;310
GLDRUB_TOM;D;20150826;000000;2571.2;2571.2;2507.2;2507.2;7050
GLDRUB_TOM;D;20150827;000000;2499.5;2503;2498.3;2498.3;430
GLDRUB_TOM;D;20150828;000000;2433;2434.2;2382.7;2382.7;3460
GLDRUB_TOM;D;20150829;000000;2373.7;2433.1;2364;2364;6650
GLDRUB_TOM;D;20150901;000000;2398.9;2433.6;2337.8;2337.8;1110
GLDRUB_TOM;D;20150902;000000;2382.5;2432.8;2382.5;2432.8;30450
GLDRUB_TOM;D;20150904;000000;2435;2438;2428.3;2428.6;31980
GLDRUB_TOM;D;20150908;000000;2454.4;2461.4;2446.4;2461.4;110
GLDRUB_TOM;D;20150909;000000;2463;2471.1;2455;2455;5010
GLDRUB_TOM;D;20150910;000000;2432.8;2432.8;2432.8;2432.8;70
GLDRUB_TOM;D;20150911;000000;2414;2428;2414;2428;9500
GLDRUB_TOM;D;20150912;000000;2394;2394;2394;2394;140
GLDRUB_TOM;D;20150916;000000;2364.6;2364.6;2364.6;2364.6;10
GLDRUB_TOM;D;20150917;000000;2334.8;2334.8;2334.8;2334.8;100
GLDRUB_TOM;D;20150918;000000;2338;2360.5;2338;2360.5;99090
GLDRUB_TOM;D;20150919;000000;2397;2401.6;2397;2401.6;15200
