Features,K,Adjusted R2,AIC,BIC,Delta BIC
"('MOEXBMI', 'EUR_RUB', 'BRENT', 'yield_spread', 'org_turnover')",5,0.6137635133779079,-734.0604290698128,-717.3856881111436,0.0
"('MOEXBMI', 'EUR_RUB', 'BRENT', 'key_rate', 'org_turnover')",5,0.6111572536487473,-733.2601339167273,-716.5853929580582,0.8002951530854716
"('MOEXBMI', 'EUR_RUB', 'BRENT', 'org_turnover')",4,0.5972189069603235,-730.0207019883838,-716.1250845228262,1.2606035883173945
"('MOEXBMI', 'EUR_RUB', 'key_rate', 'org_turnover')",4,0.5964591210466722,-729.7964378516625,-715.9008203861049,1.4848677250387254
"('MOEXBMI', 'EUR_RUB', 'BRENT', 'budget_deficit_ratio', 'org_turnover')",5,0.6077328670248486,-732.216734954004,-715.5419939953348,1.8436941158088302
"('MOEXBMI', 'EUR_RUB', 'budget_deficit_ratio', 'key_rate', 'org_turnover')",5,0.605264893298161,-731.4703842541336,-714.7956432954644,2.590044815679221
"('MOEXBMI', 'EUR_RUB', 'BRENT', 'budget_deficit_ratio', 'key_rate')",5,0.6031380197991731,-730.830921174734,-714.1561802160649,3.2295078950787683
"('MOEXBMI', 'EUR_RUB', 'yield_spread', 'org_turnover')",4,0.5904912810409576,-728.049470097617,-714.1538526320594,3.231835479084225
"('MOEXBMI', 'EUR_RUB', 'BRENT', 'key_rate')",4,0.5899948228356946,-727.9052906421304,-714.0096731765727,3.3760149345708896
"('MOEXBMI', 'EUR_RUB', 'key_rate')",3,0.5768672490472335,-725.1155579005753,-713.9990639281291,3.3866241830145327
