Variable,Coefficient,HAC SE,t,p-value,CI lower,CI upper,Sample,N
const,0.009902160304024719,0.0015828243890063515,6.2560069031037555,3.9495927139363643e-10,0.0067998815077206535,0.013004439100328783,Full sample,120
MOEXBMI,0.19662657133746764,0.029985399876664005,6.557410344575439,5.4750206329234655e-11,0.13785626751717442,0.2553968751577609,Full sample,120
EUR_RUB,0.09772108149464445,0.026070245999613925,3.748375887825976,0.00017798337457708785,0.04662433826730174,0.14881782472198718,Full sample,120
yield_spread,0.0036329780416474392,0.0017601326019292336,2.064036560464496,0.03901425007962162,0.0001831815338513656,0.007082774549443513,Full sample,120
org_turnover,-0.029058494546027727,0.007257302314513306,-4.004035285661993,6.227107038241767e-05,-0.04328254570739298,-0.014834443384662471,Full sample,120
const,0.010106430214715287,0.0015910755827581902,6.351948533579659,2.1260446131824187e-10,0.006987979375828156,0.013224881053602418,Without Feb-Mar 2022,118
MOEXBMI,0.1633707177090791,0.030626809579286034,5.334238856520411,9.594615855603244e-08,0.10334327397231215,0.22339816144584607,Without Feb-Mar 2022,118
EUR_RUB,0.12725800528764086,0.016447550243886003,7.7372011880581475,1.0162917362083725e-14,0.09502139917571131,0.1594946113995704,Without Feb-Mar 2022,118
yield_spread,0.0040420913182298655,0.001594037336535953,2.535756989866904,0.011220456644028154,0.0009178355486072439,0.007166347087852487,Without Feb-Mar 2022,118
org_turnover,-0.03026415722502632,0.007294962076327109,-4.148638047514541,3.344591365206549e-05,-0.044562020163212986,-0.015966294286839655,Without Feb-Mar 2022,118
const,0.010001028659625256,0.0011150689062996255,8.968978152941089,2.9927790978887987e-19,0.007815533762997522,0.01218652355625299,Without Cook D > 4/N,110
MOEXBMI,0.16189838545151114,0.01652130178055879,9.799372204557319,1.132875439468736e-22,0.12951722898389845,0.19427954191912383,Without Cook D > 4/N,110
EUR_RUB,0.1259333244295316,0.012914298674403359,9.751464450728271,1.8182611573117276e-22,0.10062176414210765,0.15124488471695555,Without Cook D > 4/N,110
yield_spread,0.002552719479077174,0.0013590834875373474,1.8782653917035583,0.060344868478652385,-0.0001110352084791183,0.005216474166633466,Without Cook D > 4/N,110
org_turnover,-0.03074910813988603,0.006232837202589611,-4.933404666354904,8.080849239206874e-07,-0.04296524457846305,-0.018532971701309013,Without Cook D > 4/N,110
