date,Trading observations
2015-01-31,10
2015-02-28,14
2015-03-31,14
2015-04-30,16
2015-05-31,13
2015-06-30,12
2015-07-31,16
2015-08-31,15
2015-09-30,15
2015-10-31,17
2015-11-30,12
2015-12-31,17
2016-01-31,11
2016-02-29,15
2016-03-31,17
2016-04-30,16
2016-05-31,12
2016-06-30,17
2016-07-31,11
2016-08-31,15
2016-09-30,16
2016-10-31,15
2016-11-30,15
2016-12-31,15
2017-01-31,11
2017-02-28,14
2017-03-31,16
2017-04-30,12
2017-05-31,14
2017-06-30,16
2017-07-31,12
2017-08-31,17
2017-09-30,16
2017-10-31,13
2017-11-30,15
2017-12-31,15
2018-01-31,13
2018-02-28,13
2018-03-31,14
2018-04-30,16
2018-05-31,14
2018-06-30,16
2018-07-31,17
2018-08-31,19
2018-09-30,16
2018-10-31,18
2018-11-30,17
2018-12-31,17
2019-01-31,13
2019-02-28,16
2019-03-31,16
2019-04-30,17
2019-05-31,14
2019-06-30,14
2019-07-31,18
2019-08-31,18
2019-09-30,14
2019-10-31,16
2019-11-30,15
2019-12-31,15
2020-01-31,12
2020-02-29,15
2020-03-31,16
2020-04-30,18
2020-05-31,13
2020-06-30,14
2020-07-31,17
2020-08-31,16
2020-09-30,18
2020-10-31,18
2020-11-30,14
2020-12-31,18
2021-01-31,14
2021-02-28,15
2021-03-31,17
2021-04-30,18
2021-05-31,15
2021-06-30,18
2021-07-31,18
2021-08-31,17
2021-09-30,18
2021-10-31,17
2021-11-30,15
2021-12-31,18
2022-01-31,15
2022-02-28,15
2022-03-31,4
2022-04-30,17
2022-05-31,13
2022-06-30,17
2022-07-31,17
2022-08-31,18
2022-09-30,18
2022-10-31,16
2022-11-30,17
2022-12-31,18
2023-01-31,16
2023-02-28,14
2023-03-31,17
2023-04-30,16
2023-05-31,15
2023-06-30,17
2023-07-31,16
2023-08-31,19
2023-09-30,17
2023-10-31,17
2023-11-30,18
2023-12-31,17
2024-01-31,16
2024-02-29,16
2024-03-31,16
2024-04-30,18
2024-05-31,15
2024-06-30,14
2024-07-31,18
2024-08-31,18
2024-09-30,16
2024-10-31,19
2024-11-30,17
2024-12-31,17
2025-01-31,14
2025-02-28,16
2025-03-31,16
2025-04-30,18
2025-05-31,15
2025-06-30,14
2025-07-31,19
2025-08-31,17
2025-09-30,17
2025-10-31,19
2025-11-30,15
2025-12-31,17
