Variable,Coefficient,HAC SE,t,p-value,CI lower,CI upper,Portfolio
const,0.009902160304024719,0.0015828243890063515,6.2560069031037555,3.9495927139363643e-10,0.0067998815077206535,0.013004439100328783,Buy-and-hold
MOEXBMI,0.19662657133746764,0.029985399876664005,6.557410344575439,5.4750206329234655e-11,0.13785626751717442,0.2553968751577609,Buy-and-hold
EUR_RUB,0.09772108149464445,0.026070245999613925,3.748375887825976,0.00017798337457708785,0.04662433826730174,0.14881782472198718,Buy-and-hold
yield_spread,0.0036329780416474392,0.0017601326019292336,2.064036560464496,0.03901425007962162,0.0001831815338513656,0.007082774549443513,Buy-and-hold
org_turnover,-0.029058494546027727,0.007257302314513306,-4.004035285661993,6.227107038241767e-05,-0.04328254570739298,-0.014834443384662471,Buy-and-hold
const,0.01017690565575155,0.001551917203002686,6.557634412493806,5.466802945619717e-11,0.00713520383087815,0.01321860748062495,Monthly rebalanced
MOEXBMI,0.16346926150779034,0.02752861041707328,5.938158847509662,2.8824070014386284e-09,0.10951417654589256,0.2174243464696881,Monthly rebalanced
EUR_RUB,0.12710574571761,0.029958209801962465,4.242768394968771,2.2077925424304044e-05,0.06838873346446873,0.18582275797075126,Monthly rebalanced
yield_spread,0.005154961857385862,0.0014624337414588082,3.5249199408129632,0.0004236107950908009,0.0022886443943504376,0.008021279320421288,Monthly rebalanced
org_turnover,-0.026374100532236856,0.008210562910031596,-3.2122158762115083,0.0013171536091348413,-0.04246650812869916,-0.010281692935774547,Monthly rebalanced
const,-0.00027474535172683013,0.0004568781600312536,-0.6013536556617977,0.5476044592928062,-0.0011702100907110143,0.000620719387257354,Difference (drift effect)
MOEXBMI,0.03315730982967733,0.009188148373059254,3.6087042223761334,0.00030773021646052424,0.0151488699338709,0.05116574972548376,Difference (drift effect)
EUR_RUB,-0.029384664222965547,0.006781405225411911,-4.333123187042799,1.47008795875736e-05,-0.04267597422934462,-0.016093354216586475,Difference (drift effect)
yield_spread,-0.0015219838157384219,0.0008693014944674878,-1.7508123768621273,0.07997823394443632,-0.0032257834366015434,0.00018181580512469943,Difference (drift effect)
org_turnover,-0.0026843940137908826,0.004123810204003393,-0.6509499421638936,0.5150788009811383,-0.010766913492716305,0.005398125465134539,Difference (drift effect)
