Variable,Coefficient,HAC SE,t,p-value,CI lower,CI upper,Regime,N
const,0.009457681512841043,0.0014765913343131188,6.405077216060305,1.5029329802519888e-10,0.006563615677703387,0.012351747347978698,Before February 2022,73
MOEXBMI,0.14947727273637154,0.02062365111879148,7.2478569325764814,4.2341750334219474e-13,0.10905565931382105,0.18989888615892203,Before February 2022,73
EUR_RUB,0.16025263842844395,0.02520805112044888,6.3572006285899,2.0546356902632998e-10,0.1108457661119196,0.2096595107449683,Before February 2022,73
yield_spread,-0.005965448880931987,0.004355018962034334,-1.369787119858,0.1707533638701838,-0.01450112919850829,0.0025702314366443154,Before February 2022,73
org_turnover,-0.03792243304982081,0.008048360910821452,-4.711820639011363,2.4551342464729137e-06,-0.05369693056961085,-0.02214793553003078,Before February 2022,73
const,0.01225183903176337,0.003012886370081912,4.066478959652991,4.772879223443617e-05,0.0063466902568912065,0.018156987806635536,From February 2022,47
MOEXBMI,0.22992230189937496,0.034258223179043826,6.7114485388728875,1.927017559279046e-11,0.1627774182941138,0.2970671855046361,From February 2022,47
EUR_RUB,0.08531217281857163,0.02434506442025843,3.5042902884077076,0.00045782600038126483,0.03759672335355762,0.13302762228358564,From February 2022,47
yield_spread,0.004811262460432354,0.0023574384343185138,2.040885730202829,0.041262186512948766,0.00019076803339757292,0.009431756887467134,From February 2022,47
org_turnover,-0.021465702834102977,0.01911308118974838,-1.123089606589254,0.2613994398237611,-0.05892665359959977,0.015995247931393813,From February 2022,47
