date,Missing in theory sample,Missing in exploratory sample
2015-01-31,"MOEXBMI, EUR_RUB, yield_spread, org_turnover, import_value","MOEXBMI, CNY_RUB, EUR_RUB, USD_RUB, USD_CNY, BRENT, RUONIA, yield_spread, budget_deficit_ratio, gov_debt_internal, gov_debt_external, M2, key_rate, inflation, output_index, avg_wage, org_turnover, industry_prod_idx, export_value, import_value, moex_volume"
2015-02-28,org_turnover,"budget_deficit_ratio, M2, avg_wage, org_turnover, export_value"
2015-03-31,org_turnover,"budget_deficit_ratio, M2, avg_wage, org_turnover, export_value"
2015-04-30,org_turnover,"budget_deficit_ratio, M2, avg_wage, org_turnover, export_value"
2015-05-31,org_turnover,"budget_deficit_ratio, M2, avg_wage, org_turnover, export_value"
2015-06-30,org_turnover,"budget_deficit_ratio, M2, avg_wage, org_turnover, export_value"
2015-07-31,org_turnover,"budget_deficit_ratio, M2, avg_wage, org_turnover, export_value"
2015-08-31,org_turnover,"budget_deficit_ratio, M2, avg_wage, org_turnover, export_value"
2015-09-30,org_turnover,"budget_deficit_ratio, M2, avg_wage, org_turnover, export_value"
2015-10-31,org_turnover,"budget_deficit_ratio, M2, avg_wage, org_turnover, export_value"
2015-11-30,org_turnover,"budget_deficit_ratio, M2, avg_wage, org_turnover, export_value"
2015-12-31,org_turnover,"budget_deficit_ratio, M2, avg_wage, org_turnover, export_value"
2016-01-31,,"budget_deficit_ratio, M2, avg_wage, export_value"
