Variable,Source label,Source unit,Transformation,Economic meaning,N after transformation
CNY_RUB,"Курс CNY/RUB, конец месяца",рублей за юань,log_diff_1,месячный логарифмический темп прироста,131
EUR_RUB,"Курс EUR/RUB, конец месяца",рублей за евро,log_diff_1,месячный логарифмический темп прироста,131
USD_RUB,"Курс USD/RUB, конец месяца",рублей за доллар США,log_diff_1,месячный логарифмический темп прироста,131
USD_CNY,"Курс USD/CNY, конец месяца",юаней за доллар США,log_diff_1,месячный логарифмический темп прироста,131
BRENT,"Цена фьючерса Brent, конец месяца",долларов США за баррель,log_diff_1,месячный логарифмический темп прироста,131
RUONIA,"RUONIA, последнее наблюдение месяца",% годовых,diff_1,"месячное изменение RUONIA, процентных пунктов",131
yield_spread,Спред доходностей ОФЗ 10Y–1Y,процентных пунктов,diff_1,"месячное изменение спреда ОФЗ 10Y–1Y, процентных пунктов",131
budget_deficit_ratio,дефицит/профицит федерального бюджета к его расходам,%,diff_12_diff_1,месячное изменение годовой разности бюджетного отношения,119
gov_debt_internal,объем государственного внутреннего долга РФ,млрд. рублей,log_diff_1,месячный логарифмический темп прироста,131
gov_debt_external,объем государственного внешнего долга РФ,млн. долл. США,log_diff_1,месячный логарифмический темп прироста,131
M2,денежный агрегат М2,млрд. рублей,log_diff_12_diff_1,месячное изменение годового log-темпа прироста,119
key_rate,ключевая ставка,% годовых,diff_1,"месячное изменение ключевой ставки, процентных пунктов",131
inflation,инфляция,% г/г,diff_1,"месячное изменение инфляции г/г, процентных пунктов",131
output_index,индекс выпуска товаров и услуг по базовым видам экономической деятельности,"в постоянных ценах 2021 года, в % к соответствующему периоду предыдущего года",diff_1,"месячное изменение уже годового индекса выпуска, пунктов индекса",131
avg_wage,среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций в целом по экономике Российской Федерации,рублей,log_diff_12_diff_1,месячное изменение годового log-темпа прироста,119
org_turnover,оборот организаций,млрд. рублей,log_diff_12,годовой логарифмический темп прироста оборота организаций,120
industry_prod_idx,индекс промышленного производства,в % к соответствующему месяцу предыдущего года,diff_1,"месячное изменение уже годового индекса промышленности, пунктов индекса",131
export_value,"стоимостной объем экспорта, РФ",млрд. долларов,log_diff_12_diff_1,месячное изменение годового log-темпа прироста,119
import_value,"cтоимостной объем импорта, РФ",млрд. долларов,log_diff_1,месячный логарифмический темп прироста стоимостного импорта,131
moex_volume,объем торгов на Московской Бирже,млрд. рублей,log_diff_1,месячный логарифмический темп прироста,131
