Variable,VIF
CNY_RUB,40.16549674566681
USD_RUB,37.44636032852881
RUONIA,17.490350777377458
key_rate,16.813819695213866
EUR_RUB,13.872168147996634
output_index,9.602127863140538
industry_prod_idx,8.380781611836218
USD_CNY,3.03213995834358
moex_volume,2.714576802505704
import_value,2.3838585114553994
inflation,2.271544528427175
org_turnover,1.7264580433269145
export_value,1.660599905443011
avg_wage,1.611091587213786
yield_spread,1.4275223027661081
gov_debt_internal,1.2997959175271085
BRENT,1.2968208908567525
M2,1.29398036893485
budget_deficit_ratio,1.205394191337043
gov_debt_external,1.1608191783629882
